,단어명,물리명,영문명,금칙어
2157,공종,CNSTP,CONSTRUCTION TYPE,
2158,공종구분코드,CTDVCD,CONSTRUCTION TYPE DIVISION CODE,
2159,공중,AIRBN,AIRBORNE,
2160,공중,AIR,AIR,
2161,공중감시,ARSVL,AIR SURVEILLANCE,대공감시
2162,공중감시감독관,SS,AIR SURVEILLANCE SUPERVISOR,
2163,공중감시수,SO,SURVEILLANCE OPERATOR,
2164,공중감시식별무기배정요격,SIWI,SURVEILLANCE IDENTIFICATION WEAPON ASSIGNMENT INTERCEPTION,
2165,공중감시장교,ASOFCR,AIR SURVEILLANCE OFFICER,
2166,공중강습,AASLT,AIR ASSAULT,
2167,공중강습작전,ASO,AIR ASSAULT OPERATION,
2168,공중교전구역,AEZ,AIR ENGAGEMENT ZONE,
2169,공중교전구역상태코드,AEZSTATECD,AIR ENGAGEMENT ZONE STATE CODE,
2170,공중근무자,WITS,WORKERS IN THE SKY,
2171,공중근무자등급코드,WITSGRDCD,WORKERS IN THE SKY GRADE CODE,
2172,공중근무자자격코드,WITSQLFCCD,WORKERS IN THE SKY QUALIFICATION CODE,
2173,공중근무자재분류코드,WITSRECLSCD,WORKERS IN THE SKY RECLASSIFICATION CODE,
2174,공중급유기,TANKERAIR,TANKER AIRLIFT,
2175,공중대기,ARALT,AIR ALERT,체공대기
2176,공중대기대화력전항공전력,XATK,AIRBORNE ALERT ATTACK,"X-ATK,XATK"
2177,공중보급수송,AST,AERIAL SUPPLY TRANSPORTATION,
2178,공중상황전시,RASP,RECOGNIZED AIR AND SEA PICTURE,
2179,공중상황전시소프트웨어,ADS,AIR SITUATION DISPLAY SOFTWARE,
2180,공중우세,ARSPR,AIR SUPERIORITY,
2181,공중이동수송반,AMTS,AIR MOVEMENT TRAFFIC SECTION,
2182,공중임무지휘관,AMC,AIRBORNE MISSION COMMANDER,
2183,공중재급유,ARRFL,AIR REFUELING,
2184,공중재보급,ARRSPL,AIR RESUPPLY,
2185,공중전방항공통제관,AFAC,AIRBORNE FORWARD AIR CONTROLLER,AFAC
2186,공중전투초계,CAP,COMBAT AIR PATROL,"CAP,전투공중초계"
2187,공중전화,PBLTEL,PUBLIC TELEPHONE,
2188,공중전화기,PBLTELP,PUBLIC TELEPHONE,
2189,공중조기경보통제기,AEWC,AIRBORNE EARLY WARNING & CONTROL,
2190,공중조기경보통제체계,AWACS,AIRBORNE EARLY WARNING AND CONTROL SYSTEM,
2191,공중충돌회피시스템,ACAS,AIRBORN COLLISION AVOIDANCE SYSTEM,
2192,공중투하,ARDRP,AIR DROP,
2193,공중투하보급,AIRSPL,AIR SUPPLY,
2194,공증,NTRACT,NOTARIAL ACT,
2195,공증문서,ANCC,AUTHENTIC DOCUMENT,
2196,공증번호,NANO,NOTARIAL ACT NUMBER,
2197,공지,ANNCMT,ANNOUNCEMENT,선포
2198,공지,VCTLND,VACANT LAND,
2199,공지간,ATG,AIR TO GROUND,
2200,공지번호,NTCNO,NOTICE NUMBER,
2201,공지사항,NOTICE,NOTICE,
2202,공지사항게시판,NTBD,NOTICE BOARD,
2203,공지송신수신기,AGTR,AIR GROUND TRANSMITTER RECEIVER,
2204,공지자,NTICER,NOTICER,
2205,공지합동작전,AGO,AIR GROUND JOINT OPERATIONS,
2206,공직,PBLDTY,PUBLIC DUTY,
2207,공직선거기간,POELPD,PUBLIC OFFICE ELECTION PERIOD,
2208,공직자,PBLOFCL,PUBLIC OFFICIAL,
2209,공차,EPTVHCL,EMPTY VEHICLE,
2210,공채,PBDBT,PUBLIC DEBT,공채
2211,공탁,LDGMNT,LODGEMENT,
2212,공통,CMN,COMMON,COMM
2213,공통과목,CMNSBJ,COMMON SUBJECT,
2214,공통병과분류코드,CBRCLSCD,COMMON BRANCH OF SERVICE CLASSIFICATION CODE,
2215,공통서식,CMNRM,COMMON FORM,
2216,공통선신호방식,CHGL,COMMON CHANNEL SIGNALING,
2217,공통운용환경,COE,COMMON OPERATING ENVIRONMENT,
2218,공통장비,CMEQ,COMMON EQUIPMENT,
2219,공통코드,CMNCD,COMMON CODE,
2220,공판,TRIAL,TRIAL,
2221,공판기일,TIADE,TRIAL DATE,
2222,공판정,TIACRT,TRIAL COURT,
2223,공판조서,TRLPRTC,TRIAL PROTOCOL,
2224,공평,EQUITY,EQUITY,
2225,공포,BLKFR,BLANK FIRE,
2226,공포증,PHBA,PHOBIA,
2227,공포탄,BLKCTR,BLANK CARTRIDGE,
2228,공표,OFCANC,OFFICIAL ANNOUNCEMENT,
2229,공학적추정,EGNREST,ENGINEERING ESTIMATION,원가공학적추정
2230,공한지,VCNTLND,VACANT LAND,
2231,공항,AIRPORT,AIRPORT,
2232,공항번호,AIRPTNO,AIRPORT NUMBER,
2233,공항상주업체,ARTSTPC,AIRPORT STATIONED PERMANENTLY COMPANY,
2234,공항식별기호,AIS,AERODROME IDENTIFICATION SIGN,
2235,공항운영자,ARPRTOPRTR,AIRPORT OPERATOR,
2236,공항육로,AIRLD,AIRPORT LNDRT,
2237,공항철도,AIRRA,AIRPORT RAILRD,
2238,공해,PLTN,POLLUTION,
2239,공해방지,ANTPLT,ANTIPOLLUTION,
2240,공해방지기,ANTPMCH,ANTIPOLLUTION MACHINE,
2241,공해합동작전,ASJOP,AIR SEA JOINT OPERATION,
2242,공황,PANIC,PANIC,PANIC
2243,공회전,NLDN,NO-LOAD RUNNING,
2244,공훈,MRIT,MERITS,
2245,공휴일,HLDY,HOLIDAY,공휴
2246,과,DPTMT,DEPARTMENT,
2247,과거,PAST,PAST,
2248,과거이력,PHST,PAST HISTORY,
2249,과납,PYMTEXC,PAYMENT IN EXCESS,
2250,과년도,PSTYR,PAST YEAR,
2251,과년도지출,DBPFY,DEFRAYMENT BELONGING TO THE PRECEEDING FINANCIAL Y,
2252,과다,EXCSS,EXCESS,
2253,과도,FRTNF,FRUIT KNIFE,
2254,과락,FAIL,FAIL,
2255,과로,OVRWK,OVERWORK,
2256,과료,MNOFNE,MINOR FINE,
2257,과목,SBJ,SUBJECT,
2258,과목번호,SBJNO,SUBJECT NUMBER,
2259,과목전용,DVSN,DIVERSION,
2260,과반수,MJRTY,MAJORITY,
2261,과보유,OVRHLD,OVER HOLDING,
2262,과보유자산,OVRAST,OVER ASSETS,
2263,과부족,OVRSHRT,OVERS AND SHORTS,
2264,과부하,OVLOD,OVERLOAD,
2265,과산화수소수,PERXD,HYDROGEN PEROXIDE,
2266,과세,TXTN,TAXATION,
2267,과세이연,TXCR,TAXATION CARRYOVER,
2268,과소,LTTLN,LITTLENESS,
2269,과속,OVRSPD,OVERSPEED,
2270,과수원,ORCHRD,ORCHARD,
2271,과실,MISTK,MISTAKE,
2272,과실상계,CTVLN,COMPARATIVE NEGLIGENCE,
2273,과실점유,NLNCS,NEGLIGENCE POSSESSION,
2274,과실책임,LABFLT,LIABILITY WITH FAULT,
2275,과실책임주의,PLWF,PRINCIPLE OF LIABILITY WITH FAULT,
2276,과업,TASK,TASK,"테스크,타스크,태스크"
2277,과오,FALT,FAULT,
2278,과오급사유코드,FPRCD,FAULT PAY REASON CODE,
2279,과오급여,FLPY,FAULT PAY,
2280,과오급여사유수당코드,FRACD,FAULT PAY REASON ALLOWANCE CODE,
2281,과오급여정산구분코드,FPECDCD,FAULT PAY EXACT CALCULATION DIVISION CODE,
2282,과오납,OVERPAY,OVERPAYMENT,
2283,과오지급자료구분코드,FPDDCD,FAULT PAYMENT DATA DIVISION CODE,
2284,과외,EXTRCL,EXTRACURRICULAR,
2285,과원,ORCHARD,ORCHARD,
2286,과잉방위,ELFF,EXCESSIVE SELF-DEFENSE,
2287,과장,HDDPT,HEAD OF A DEPARTMENT,
2288,과적,OVCHRG,OVERCHARGE,
2289,과적차량,OCVHCL,OVERCHARGE VEHICLES,
2290,과점,OLGP,OLIGOPOLY,
2291,과정,CRCLM,CURRICULUM,
2292,과정,PROCES,PROCESS,
2293,과정모델,PRCMDL,PROCESS MODEL,
2294,과제,TSK,TASK,
2295,과징,SURCHRG,SURCHARGE,
2296,과징금,SRCHRG,SURCHARGE,
2297,과초과,OVEXD,OVER EXCEED,
2298,과학,SCNCE,SCIENCE,
2299,과학화,SCNTFC,SCIENTIFIC,
2300,관,POV,POINT OF VIEW,
2301,관,PT,PART,
2302,관,GOVOFCR,GOVERNMENT OFFICER,
2303,관,TUBE,TUBE,"튜브,TUBE"
2304,관경,PDMT,PIPE DIAMETER,
2305,관계,RELSHP,RELATIONSHIP,
2306,관계구분코드,RDCD,RELATIONSHIP DIVISION CODE,
2307,관계기관,CRDNS,CONCERNED ORGANS,
2308,관계기업,RCPY,RELATION COMPANY,
2309,관계레벨,REV,RELATION LEVEL,
2310,관계법률,RLW,RELATION LAW,
2311,관계시설,RLQP,RELATION EQUIPMENT,
2312,관계중앙행정기관장,STSDR,STATE ADMINISTRATION INSTITUTION LEADER,
2313,관공서,GOVNOFC,GOVERNMENT AND PUBLIC OFFICES,
2314,관급,GOVSPL,GOVERNMENT SUPPLY,
2315,관급계획,GVSPL,GOVERNMENT SUPPLY PLAN,
2316,관급자재,GVFNPP,GOVERNMENT FURNISHED PROPERTY,
2317,관급재료,MSPLHN,MATERIAL SUPPLIED BY THE GOVERNMENT,
2318,관급품,GSITM,GOVERNMENT SUPPLY ITEM,관급물품
2319,관급품목구분코드,GDDCD,GOVERNMENT DELIVERY DIVISION CODE,
2320,관능검사,SNSTST,SENSORY TEST,
2321,관람,VIEWNG,VIEWING,
2322,관람석,ADTM,AUDITORIUM,
2323,관련,REL,RELATION,
2324,관련시설종류번호,RFKNO,RELATION FACILITIES KIND NUMBER,
2325,관련자,RELPSN,RELATED PERSON,
2326,관로,PLINE,PIPE LINE,
2327,관리,MGT,MANAGEMENT,
2328,관리가격,ADMPRC,ADMINISTERED PRICE,
2329,관리개선,MGTIMPR,MANAGEMENT IMPROVEMENT,
2330,관리계획구분코드,MPDVCD,MANAGEMENT PLAN DIVISION CODE,
2331,관리계획사유코드,MPRCD,MANAGEMENT PLAN REASON CODE,
2332,관리계획승인기관코드,MPAOCD,MANAGEMENT PLAN APPROVAL ORGAN CODE,
2333,관리계획진행상태코드,MPPSCD,MANAGEMENT PLAN PROGRESS STATE CODE,
2334,관리구분,MGTDIV,MANAGEMENT DIVISION,
2335,관리도,CTRLCHT,CONTROL CHART,
2336,관리번호,MGTNO,MANAGEMENT NUMBER,
2337,관리부대장,MGND,MANAGEMENT COMMANDER,
2338,관리비,MGTEXP,MANAGEMENT EXPENSES,
2339,관리업,MGBS,MANAGEMENT BUSINESS,
2340,관리위탁,MGTRST,MANAGEMENT TRUST,
2341,관리위탁일자,MGTRSTDT,MANAGEMENT TRUST DATE,관리위탁일
2342,관리자,ADMIN,ADMINISTRATOR,관리인
2343,관리자입력규격분류코드,MICCD,MANAGER INPUT CLASSIFICATION CODE,
2344,관리자취급품목,MHITM,MANAGER HANDLING ITEM,
2345,관리자카드,VADSTCR,VOTING ADMINISTRATOR CARD,
2346,관리자통제품목,MCITM,MANAGER CONTROL ITEM,
2347,관리전환,MGTCVS,MANAGEMENT CONVERSION,관리환
2348,관리전환거리구분코드,MCVSNDSCD,MANAGEMENT CONVERSION DISTANCE SECTION CODE,
2349,관리정지,MGTSTP,MANAGEMENT STOP,
2350,관리종결,MGCNC,MANAGEMENT CONCLUSION,
2351,관리직,ADMPST,ADMINISTRATIVE POSITION,
2352,관리처분,MGTDPS,MANAGEMENT DISPOSAL,
2353,관리처분권,MGSHR,MANAGEMENT AND DISPOSITION AUTHORITY,
2354,관리청,MGTADM,MANAGEMENT ADMINISTRATION,
2355,관리청지정신청구분코드,MADADCD,MANAGEMENT ADMINISTRATION DESIGNATION APPLICATION DIVISION CODE,
2356,관리표적,MGTT,MANAGEMENT TARGET,
2357,관리회계,MGTACC,MANAGEMENT ACCOUNTS,
2358,관목,SRB,SHRUB,
2359,관물함,GPBX,GOVERNMENT PROPERTY BOX,
2360,관민,GNP,GOVERNMENT AND PEOPLE,
2361,관보,GZT,GAZETTE,
2362,관사,OFRSD,OFFICIAL RESIDENCE,
2363,관상용,VWARN,SOMETHING TO VIEW OR ENJOY WITH ADMIRATION,
2364,관서,GOVOFC,GOVERNMENT OFFICE,
2365,관서운영경비,GOVOPEXP,GOVERNMENT OPERATION EXPENSE,
2366,관서장,CGO,CHIEF OF GOVERNMENT OFFICE,
2367,관세,TRF,TARIFF,
2368,관세미지급인도조건,DDU,DELIVERED DUTY UNPAID,
2369,관세율,TRFRT,TARIFF RATE,
2370,관세지급인도조건,DDP,DELIVERED DUTY PAID,
2371,관세청지식관리시스템,CKM,KOREA CUSTOMS SERVICE KNOWLEDGE MANAGEMENT,
2372,관세청통합정보시스템,CDW,CUSTOMS DATA WAREHOUSE,
2373,관세품목분류코드,CCCNCD,CUSTOMS COOPERATION COUNCIL NOMENCLATURE CODE,
2374,관세품목분류표,CCCN,CUSTOMS COOPERATION COUNCIL NOMENCLATURE,CCCN
2375,관세협력이사회,CCC,CUSTOMS COOPERATION COUNCIL,
2376,관심,INTRST,INTEREST,
2377,관심지역,AI,AREA OF INTEREST,
2378,관심지역번호,AINO,AREA OF INTEREST NUMBER,
2379,관심지점,POI,POINT OF INTEREST,POI
2380,관심타격지역,TAI,TARGET AREA INTEREST,TAI
2381,관심타격지역번호,TAINO,TAI NUMBER,
2382,관여,PTCPT,PARTICIPATION,
2383,관용,OFFL,OFFICIAL USE,
2384,관용여권,OFSPT,OFFICIAL PASSPORT,
2385,관유물,GOVPRPT,GOVERNMENT PROPERTY,관물
2386,관인,OFFSL,AN OFFICIAL SEAL,
2387,관장,ENEMA,ENEMA,ENEMA
2388,관재,PRPTMGT,PROPERTY MANAGEMENT,
2389,관재관,PRPTMGR,PROPERTY MANAGER,
2390,관재인,TRSTEE,TRUSTEE,
2391,관절염,ARTHR,ARTHRITIS,
2392,관점,APCT,ASPECT,
2393,관제,CONTROL,CONTROL,
2394,관제사,ARTCNT,AIR TRAFFIC CONTROLLER,
2395,관제소,CTRPST,CONTROL POST,
2396,관제자,CTRLR,CONTROLLER,
2397,관제탑,CTRTWR,CONTROL TOWER,TWR
2398,관조정비,CTPMTN,CONTEMPLATION MAINTENANCE,
2399,관찰,OBSVT,OBSERVATION,
2400,관찰통제관,OBSVTC,OBSERVER AND CONTROLLER,
2401,관청,GOVOFFC,GOVERNMENT OFFICE,
2402,관측,OBSVTN,OBSERVATION,
2403,관측소,OP,OBSERVATION POST,"OP,감시소"
2404,관측수단구분코드,OBSVTMENSCD,OBSERVATION MEANS SECTION CODE,
2405,관측시간,OBTIME,OBTIME,
2406,관측자,OBSRV,OBSERVER,
2407,관측자최초보고,NBC1,NUCLEAR BIOLOGICAL AND CHEMICAL 1,"NBC1,NBC-1"
2408,관통,PNTR,PENETRATE,
2409,관통력,PNTPWR,PENETRATION POWER,
2410,관하,UDJDT,UNDER THE JURISDICTION OF,
2411,관하번호,UDJDTNO,UNDER THE JURISDICTION OF NUMBER,
2412,관학,GVCL,GOVERNMENT AND SCHOOL,
2413,관할,CMPT,COMPETENCE,
2414,관할경찰서장,JHLC,JURISDICTION CHIEF OF A POLICE STATION,
2415,관할관청,CPTOFC,COMPETENCE OFFICES,관할청
2416,관할기관,CMPTINST,COMPETENCE INSTITUTION,
2417,관할법원,CPTCRT,COMPETENT COURT,
2418,관할부대장,JDCMD,JURISDICTION OFFICER COMMANDING,
2419,관할선거구위원회,JRDTT,JURISDICTION ELECTORAL DISTRICT COMMITTEE,
2420,관할위반,VJDC,VIOLATION OF JURISDICTION,
2421,관혼상제,FCOC,FOUR CEREMONIAL OCCASIONS,
2422,괄호,PRTHS,PARENTHESIS,
2423,광가입자전송장치,FLC,FIBER LOOP CARRIER,
2424,광고,ADVT,ADVERTISING,
2425,광고료,ADVTFEE,ADVERTISING FEE,
2426,광고물,ADVERT,ADVERTISEMENT,
2427,광단국,OCLR,OPTICAL TERMINAL,
2428,광대역,BRBD,BROADBAND,
2429,광도,LUMITS,LUMINOUS INTENSITY,광력
2430,광명,LIGHT,LIGHT,
2431,광명제원,LGDT,LIGHT DATA,
2432,광범위,WDSCP,WIDE SCOPE,
2433,광분배함,OFTR,OPTICAL FIBER DISTRIBUTION,
2434,광속단속기,CHOPPER,CHOPPER,
2435,광업,MNIDST,MINING INDUSTRY,
2436,광업법,MNLW,MINING LAW,
2437,광업소,MNGSTN,MINING STATION,
2438,광역,WDAR,WIDE AREA,
2439,광역서비스,BRVC,BROAD SERVICE,
2440,광역시,MTRCTY,METROPOLITAN CITY,
2441,광역정보통신망,WAN,WIDE AREA NETWORK,WAN
2442,광열,LNH,LIGHT AND HEAT,
2443,광열비,LNHEXP,LIGHT AND HEAT EXPENSES,
2444,광원,SRCLT,SOURCE OF LIGHT,
2445,광전송,OTTS,OPTICAL TRANSMISSION,
2446,광주,GWANGJU,GWANGJU,
2447,광주전남,GJJN,GWANGJU JEOLLANAM-DO,
2448,광중계기,OTRPTR,OPTICAL REPEATER,
2449,광증폭야시장비,WANGHTVSN,WIDE AMPLIFY NIGHT VISION DEVICE,
2450,광천지,MNLSPT,MINERAL SPOT,
2451,광택제,PLSH,POLISH,
2452,광학,OPTICS,OPTICS,
2453,광해배상,CFDTS,COMPENSATION OF DAMAGE DUE TO MINING MINERALS,
2454,광화문,GWNGWHMN,GWANGWHAMUN,
2455,광화학,PHTCHM,PHOTOCHEMISTRY,
2456,교각,BGPR,BRIDGE PIER,
2457,교골,FWOBG,FRAMEWORK OF A BRIDGE,
2458,교관,INSTRT,INSTRUCTOR,
2459,교관,BRGTB,BRIDGE TUBE,
2460,교내,SKLGRND,SCHOOL GROUNDS,
2461,교대,ALTR,ALTERNATION,
2462,교대및대체,ALNIT,ALTERNATION AND INTERCHANGE,
2463,교도,TCHNG,TEACHING,
2464,교도소,DSPBRCK,DISCIPLINARY BARRACKS,
2465,교란,HRSNG,HARASSING,
2466,교량,BRG,BRIDGE,
2467,교량번호,BRGNO,BRIDGE NUMBER,
2468,교량작업자산구분코드,BRGWOKASTSCD,BRIDGE WORK ASSETS SECTION CODE,
2469,교량전차,AVLB,ARMORED VEHICLE LAUNCHED BRIDGE,
2470,교량침목,BGSLP,BRIDGE SLEEPER,
2471,교련,MILTRN,MILITARY TRAINING,
2472,교류,EXCH,EXCHANGE,
2473,교리,DCTRN,DOCTRINE,
2474,교리형판,DTRTP,DOCTRINE TEMPLATE,
2475,교번,PEMN,PRE EMPLOYEE NUMBER,
2476,교범,MNL,MANUAL,
2477,교범번호,MNLNO,MANUAL NUMBER,
2478,교보재,TRNAD,TRAINING AID,
2479,교본,TXTBK,TEXTBOOK,
2480,교부,DLVR,DELIVERY,
2481,교부금,GRNT,GRANT,
2482,교부세,DTRFEE,DISTRIBUTION FEE,
2483,교부송달,DVYC,DELIVERY AND SERVICE,
2484,교사범,ABTR,ABETTER,
2485,교섭단체,NTPRT,NEGOTIATING PARTY,
2486,교수,PROF,PROFESSOR,
2487,교수법,TCHMTD,TEACHING METHOD,
2488,교수요원,FTMMR,FACULTY MEMBERS,
2489,교실,CLSSRM,CLASSROOM,
2490,교안,TCHPGM,TEACHING PROGRAM,
2491,교역,TRD,TRADE,
2492,교외교육,ETRMT,EXTRAMURAL TEACHING,
2493,교원임용고사,TATEST,TEACHER APPOINTMENT TEST,"임용고사,임용고시"
2494,교육,EDU,EDUCATION,
2495,교육경력연수,ECRDR,EDUCATION CAREER STUDY AND TRAINING,
2496,교육과정,CRRCLM,CURRICULUM,"교과과정,커리큘럼"
2497,교육과정번호,CRCLNO,CURRICULUM NUMBER,
2498,교육기관,EDUFCLT,EDUCATIONAL FACILITIES,교육관
2499,교육기관번호,EDUFCLTNO,EDUCATIONAL FACILITIES NUMBER,
2500,교육비,EDUEXP,EDUCATION EXPENSES,교육비용
2501,교육비공제코드,EDSBTRCD,EDUCATION EXPENSES SUBTRACTION CODE,
2502,교육사령부,EDUCMD,EDUCATION COMMAND,
2503,교육생,STDT,STUDENT,
2504,교육세,EDUTX,EDUCATIONAL TAXES,
2505,교육용탄약,EDUAMN,EDUCATIONAL AMMUNITION,교탄
2506,교육장,EDUSPNTD,SUPERINTENDENT OF EDUCATION,
2507,교육코드,EDUCD,EDUCATION CODE,
2508,교육평정,EDUEVT,EDUCATION EVALUATION,
2509,교육훈련,EDUTRN,EDUCATIONAL TRAINING,
2510,교육훈련비,TLC,TRAINING LABOR COST,
2511,교장,MILDRGRD,MILITARY DRILL GROUND,
2512,교재,TCHMTR,TEACHING MATERIALS,
2513,교전,ENGMT,ENGAGEMENT,
2514,교전규칙,ROE,RULES OF ENGAGEMENT,
2515,교전규칙구분코드,ROESECCD,RULES OF ENGAGEMENT SECTION CODE,
2516,교전상태,BLGRN,BELLIGERENCY,
2517,교전상태목록전시,ENGSR,ENGAGEMENT STATUS REVIEW,
2518,교전상태코드,ENGMTSTATECD,ENGMT STATE CODE,
2519,교전중표적,ENGTR,ENGAGED TRACK,
2520,교전지역,DEZ,DESIRED ENGAGEMENT ZONE,
2521,교전통제소,ECS,ENGAGEMENT CONTROL STATION,
2522,교절,ONESP,ONE SPAN,
2523,교정,CAC,CERTIFICATION AND CALIBRATION,검교정
2524,교정시력,CRTEYE,CORRECTED EYESIGHT,
2525,교정시험편,CACBLC,CALIBRATION BLOCK,
2526,교정처분,RFDS,REFORMATION DISPOSITION,
2527,교지,SKLSTE,SCHOOL SITE,
2528,교직원,SKLSTF,STAFF OF A SCHOOL,
2529,교차,CROSS,CROSS,
2530,교차시험,CTST,CROSS TEST,
2531,교차점,CTP,CUT POINT,
2532,교차책임,CRSRSPNSBL,CROSSING RESPONSIBILITY,
2533,교차청약,CSFR,CROSSED OFFER,
2534,교체,RPLC,REPLACEMENT,
2535,교체간평균시간,MTBR,MEAN TIME BETWEEN REPLACEMENT,
2536,교체번호,RPLCNO,REPLACEMENT NUMBER,
2537,교체일자,RPLCDT,REPLACEMENT DATE,교체일
2538,교초,BSBDG,BASE OF BRIDGE,
2539,교통,TRFC,TRAFFIC,
2540,교통량,TRFVLM,TRAFFIC VOLUME,
2541,교통로,ROC,ROUTE OF COMMUNICATION,
2542,교통망,TRFNTW,TRAFFIC NETWORK,
2543,교통망구분코드,TRFNTWDVSCD,TRAFFIC NETWORK DIVISION CODE,
2544,교통밀도,TRFDST,TRAFFIC DENSITY,
2545,교통방해죄,OSCR,OFFENSE OF BLOCKING TRAFFIC,
2546,교통비,TRFEXP,TRAFFIC EXPENSES,
2547,교통사고,TRFACDT,TRAFFIC ACCIDENT,
2548,교통세,TRFTX,TRAFFIC TAX,
2549,교통통제소,TRFCTRPST,TRAFFIC CONTROL POST,
2550,교통편,TRSPTN,TRANSPORTATION,
2551,교통혼잡도구분코드,TRFICNFDGRCD,TRAFFIC CONFUSION DEGREE SECTION CODE,
2552,교환,EXCHG,EXCHANGE,
2553,교환국,TELEX,TELEPHONE EXCHANGE,
2554,교환기,SWTBRD,SWITCHBOARD,
2555,교환율,RPLFCT,REPLACEMENT FACTOR,
2556,교환일자,EXCHDT,EXCHANGE DATE,교환일
2557,교황청,PPLCORT,PAPAL COURT,
2558,교훈,LSSLND,LESSONS LEARNED,
2559,교흉고,SZTB,SIZE OF TALLTREE BREAST,
2560,구,GU,GU,
2561,구,OLD,OLD,OLD
2562,구,HLLW,HOLLOW,
2563,구간,SECT,SECTION,
2564,구간거리,SCTDST,SECTIONAL DISTANCE,
2565,구간거리표,SDMK,SECTIONAL DISTANCE MARK,
2566,구간번호,SECTNO,SECTION NUMBER,
2567,구간시작,SSTR,SECTION START,
2568,구간종료,SFNH,SECTION FINISH,
2569,구강,ORLCVT,ORAL CAVITY,"입속,입안"
2570,구강외과,ORLSGR,ORAL SURGERY,
2571,구개,PALATE,PALATE,입천장
2572,구경,CLBR,CALIBER,
2573,구경코드,CCD,CALIBER CODE,
2574,구금,IPRSMT,IMPRISONMENT,
2575,구급,RSCU,RESCUE,
2576,구급차,AMBL,AMBULANCE,
2577,구난,SRNRC,SEARCH AND RESCUE,
2578,구난차량,RCVHCL,RECOVERY VEHICLE,
2579,구내외,IDPS,INSIDE OR OUTSIDE PREMISES,
2580,구독자,READER,READER,
2581,구동,DRV,DRIVE,
2582,구두,MTHWRD,WORD OF MOUTH,
2583,구량,RATN,RATION,
2584,구름,CLOUD,CLOUD,운
2585,구름량기상코드,CAWCD,CLOUD AMOUNT WEATHER CODE,
2586,구름량코드,AMOCLDCD,AMOUNT OF CLOUD CODE,
2587,구리,CU,COPPER,CU
2588,구매,PCHS,PURCHASE,구입
2589,구매구분,PCDV,PURCHASE DIVISION,
2590,구매권,PCHTKT,PURCHASE TICKET,
2591,구매량,PCHQTY,PURCHASE QUANTITY,
2592,구매명세서,PCHDSC,PURCHASE DEION,
2593,구매번호,PCHSNO,PURCHASE NUMBER,
2594,구매서,PURCHSHT,PURCHASE SHEET,
2595,구매요구서,PO,PURCHASE ORDER,
2596,구매요청번호,PCHRQNO,PURCHASE REQUEST NUMBER,
2597,구매일자,PCHSDT,PURCHASE DATE,"구매일,구입일자,구입일"
2598,구매자,PURCHSR,PURCHASER,
2599,구매처,PURCHSOFC,PURCHASING OFFICE,
2600,구매판단,EOP,ESTIMATE OF PROCUREMENT,
2601,구매품목구분코드,PIDVCD,PURCHASE ITEM DIVISION CODE,
2602,구명,LFSV,LIFESAVING,
2603,구명선,LFSHP,LIFESHIP,
2604,구명장비,SURVIVEQ,SURVIVAL EQUIPMENT,
2605,구명정,LFBT,LIFEBOAT,
2606,구문,SYTX,SYNTAX,
2607,구문분석,PSNG,PARSING,파싱
2608,구분,DVS,DIVISION,
2609,구분등기,RGSTPRT,REGISTRATION OF PARTITION,
2610,구분자,SEPR,SEPARATOR,
2611,구분지상권,PRTSPRF,PARTITIONED SUPERFICIES,
2612,구비,FULEQP,BE FULLY EQUIPPED,
2613,구비서류,REQDOC,REQUIRED DOCUMENT,
2614,구상,CLMCPS,CLAIM FOR COMPENSATION,
2615,구상권,INDMRT,RIGHT TO INDEMNITY,
2616,구상금,RECAMT,RECOURSE AMOUNT,
2617,구상무역,BTRTRD,BARTER TRADE,
2618,구상일자,CLMCPSDT,CLAIM FOR COMPENSATION DATE,구상일
2619,구색,ASRTMT,ASSORTMENT,
2620,구서,EOR,EXTERMINATION OF RATS,
2621,구성,CPST,COMPOSITION,
2622,구성번호,CPSTNO,COMPOSITION NUMBER,
2623,구성비,CPSTRT,COMPOSITION RATE,
2624,구성시뮬레이션,CSTSIM,CONSTRUCTIVE SIMULATION,
2625,구성원,MBR,MEMBER,
2626,구성원번호,MBRNO,MEMBER NUMBER,
2627,구성원식별번호,MBRIDNO,MEMBER IDENTIFICATION NUMBER,
2628,구성재,CPSMTR,COMPOSITION MATERIAL,
2629,구성체,CNSTRT,CONSTRUCT,
2630,구성품,CPNT,COMPONENT,구성원품
2631,구세,SALV,SALVATION,
2632,구속,RSTRNT,RESTRAINT,
2633,구역,SCTR,SECTOR,"섹션,블럭"
2634,구역감시,SSWOA,SECTOR SURVEILLANCE WEAPON ORDER AND ASSIGNMENT,SSWOA
2635,구역구분코드,SCTRDVSCD,SECTOR DIVISION CODE,
2636,구역번호,SCTRNO,SECTOR NUMBER,
2637,구영,WRDMNG,WARD MANAGEMENT,
2638,구우편번호,OZIP,OLD ZIP CODE,
2639,구유지,GULND,GU LAND,
2640,구입부품,PCSPRT,PURCHASE PART,
2641,구입재료,PCSMTR,PURCHASE MATERIAL,
2642,구전,WRDOM,WORD OF MOUTH,
2643,구절,PHRS,PHRASE,
2644,구조,RESCU,RESCUE,
2645,구조,STRTR,STRUCTURE,
2646,구조교골,STBDB,STRUCTURE BRIDGE BONE,
2647,구조교관,RSCIR,RESCUE INSTRUCTOR,
2648,구조대,RSCUNT,RESCUE UNIT,
